Single_LSTM,Single_GRU,OneD_CNN,OneD_CNN_Dilated,OneD_CNN_Causal,OneD_CNN_CausalDilated,TwoD_CNN,TwoD_CNN_Dilated,TwoD_CNN_Separable,TwoD_CNN_Depthwise,CNN_LSTM,CNN_GRU,Single_ConvLSTM2D,"EEGNet-8,2","EEGNeX-8,32"
53.8518548,56.66666627,69.25926208,68.88889074,68.7407434,67.48148203,67.40740538,69.55555677,68.2962954,68.7407434,68.66666675,67.85185337,62.00000048,70.2962935,71.11111283
53.77777815,55.33333421,67.03704,69.62962747,66.592592,67.55555272,67.18518734,69.40740943,69.40740943,68.59259009,69.92592812,67.77777672,60.51852107,70.2962935,72.81481624
54.44444418,52.37036943,68.7407434,71.11111283,66.96296334,68.07407141,66.22222066,68.81481409,67.92592406,67.85185337,69.99999881,68.22222471,59.92592573,72.29629755,71.55555487
52.81481743,54.88888621,68.37037206,69.77777481,67.62962937,67.77777672,67.11111069,70.07407546,67.77777672,68.88889074,70.14814615,67.33333468,60.29629707,70.59259415,71.62963152
52.59259343,51.85185075,67.25925803,70.14814615,68.2962954,67.40740538,66.88888669,67.92592406,68.66666675,68.37037206,68.14814806,67.85185337,59.92592573,70.22222281,71.25926018
53.6296308,53.55555415,68.14814806,69.92592812,68.7407434,69.18518543,67.48148203,68.81481409,67.92592406,70.66666484,69.85185146,68.44444275,60.81481576,70.66666484,71.85184956
53.40740681,53.92592549,67.55555272,68.88889074,65.92592597,67.18518734,66.74073935,67.77777672,68.22222471,69.11110878,68.81481409,65.55555463,60.74073911,70.07407546,70.74074149
53.55555415,55.48148155,68.66666675,69.62962747,68.5185194,69.03703809,67.40740538,68.81481409,70.07407546,68.44444275,70.81481218,67.33333468,59.18518305,72.59259224,72.74073958
55.25925756,53.03703547,68.81481409,70.66666484,67.55555272,67.92592406,67.48148203,67.55555272,68.22222471,69.11110878,69.77777481,67.25925803,60.37036777,70.07407546,72.51851559
54.44444418,50.88889003,68.37037206,69.99999881,68.14814806,67.48148203,66.96296334,68.88889074,70.22222281,69.18518543,69.55555677,67.18518734,60.29629707,70.96296549,71.70370221
